,M,s,fixation_freq,fixation_err,count_fixation
0,1.0,0.0001,0.0,0.0,0.0
1,1.0,0.00021544346900318845,0.0,0.0,0.0
2,1.0,0.00046415888336127773,0.0,0.0,0.0
3,1.0,0.001,0.0,0.0,0.0
4,1.0,0.002154434690031882,0.0,0.0,0.0
5,1.0,0.004641588833612777,0.0,0.0,0.0
6,1.0,0.01,0.0,0.0,0.0
7,1.0,0.021544346900318822,0.0,0.0,0.0
8,1.0,0.046415888336127774,0.05,0.09746794344808964,1.0
9,1.0,0.1,0.0,0.0,0.0
10,2.0,0.0001,0.0,0.0,0.0
11,2.0,0.00021544346900318845,0.0,0.0,0.0
12,2.0,0.00046415888336127773,0.0,0.0,0.0
13,2.0,0.001,0.0,0.0,0.0
14,2.0,0.002154434690031882,0.1,0.1341640786499874,2.0
15,2.0,0.004641588833612777,0.0,0.0,0.0
16,2.0,0.01,0.0,0.0,0.0
17,2.0,0.021544346900318822,0.05,0.09746794344808964,1.0
18,2.0,0.046415888336127774,0.1,0.1341640786499874,2.0
19,2.0,0.1,0.25,0.19364916731037085,5.0
20,5.0,0.0001,0.0,0.0,0.0
21,5.0,0.00021544346900318845,0.0,0.0,0.0
22,5.0,0.00046415888336127773,0.0,0.0,0.0
23,5.0,0.001,0.0,0.0,0.0
24,5.0,0.002154434690031882,0.0,0.0,0.0
25,5.0,0.004641588833612777,0.0,0.0,0.0
26,5.0,0.01,0.0,0.0,0.0
27,5.0,0.021544346900318822,0.05,0.09746794344808964,1.0
28,5.0,0.046415888336127774,0.05,0.09746794344808964,1.0
29,5.0,0.1,0.1,0.1341640786499874,2.0
30,7.0,0.0001,0.0,0.0,0.0
31,7.0,0.00021544346900318845,0.05,0.09746794344808964,1.0
32,7.0,0.00046415888336127773,0.05,0.09746794344808964,1.0
33,7.0,0.001,0.05,0.09746794344808964,1.0
34,7.0,0.002154434690031882,0.05,0.09746794344808964,1.0
35,7.0,0.004641588833612777,0.05,0.09746794344808964,1.0
36,7.0,0.01,0.0,0.0,0.0
37,7.0,0.021544346900318822,0.0,0.0,0.0
38,7.0,0.046415888336127774,0.0,0.0,0.0
39,7.0,0.1,0.1,0.1341640786499874,2.0
40,10.0,0.0001,0.0,0.0,0.0
41,10.0,0.00021544346900318845,0.0,0.0,0.0
42,10.0,0.00046415888336127773,0.0,0.0,0.0
43,10.0,0.001,0.0,0.0,0.0
44,10.0,0.002154434690031882,0.0,0.0,0.0
45,10.0,0.004641588833612777,0.05,0.09746794344808964,1.0
46,10.0,0.01,0.0,0.0,0.0
47,10.0,0.021544346900318822,0.0,0.0,0.0
48,10.0,0.046415888336127774,0.15,0.15968719422671313,3.0
49,10.0,0.1,0.15,0.15968719422671313,3.0
