,M,s,fixation_freq,fixation_err,count_fixation
0,1.0,0.0001,0.005,0.009974968671630002,1.0
1,1.0,0.00021544346900318845,0.01,0.01407124727947029,2.0
2,1.0,0.00046415888336127773,0.0,0.0,0.0
3,1.0,0.001,0.0,0.0,0.0
4,1.0,0.002154434690031882,0.015,0.017190113437671083,3.0
5,1.0,0.004641588833612777,0.01,0.01407124727947029,2.0
6,1.0,0.01,0.015,0.017190113437671083,3.0
7,1.0,0.021544346900318822,0.025,0.022079402165819616,5.0
8,1.0,0.046415888336127774,0.065,0.034864021569520634,13.0
9,1.0,0.1,0.105,0.043353200573890735,21.0
10,2.0,0.0001,0.02,0.01979898987322333,4.0
11,2.0,0.00021544346900318845,0.005,0.009974968671630002,1.0
12,2.0,0.00046415888336127773,0.0,0.0,0.0
13,2.0,0.001,0.01,0.01407124727947029,2.0
14,2.0,0.002154434690031882,0.01,0.01407124727947029,2.0
15,2.0,0.004641588833612777,0.005,0.009974968671630002,1.0
16,2.0,0.01,0.015,0.017190113437671083,3.0
17,2.0,0.021544346900318822,0.02,0.01979898987322333,4.0
18,2.0,0.046415888336127774,0.045,0.029317230428538097,9.0
19,2.0,0.1,0.07,0.03608323710533744,14.0
20,5.0,0.0001,0.015,0.017190113437671083,3.0
21,5.0,0.00021544346900318845,0.025,0.022079402165819616,5.0
22,5.0,0.00046415888336127773,0.015,0.017190113437671083,3.0
23,5.0,0.001,0.005,0.009974968671630002,1.0
24,5.0,0.002154434690031882,0.01,0.01407124727947029,2.0
25,5.0,0.004641588833612777,0.015,0.017190113437671083,3.0
26,5.0,0.01,0.015,0.017190113437671083,3.0
27,5.0,0.021544346900318822,0.005,0.009974968671630002,1.0
28,5.0,0.046415888336127774,0.035,0.025990382836734053,7.0
29,5.0,0.1,0.12,0.04595650117230423,24.0
30,7.0,0.0001,0.01,0.01407124727947029,2.0
31,7.0,0.00021544346900318845,0.005,0.009974968671630002,1.0
32,7.0,0.00046415888336127773,0.005,0.009974968671630002,1.0
33,7.0,0.001,0.015,0.017190113437671083,3.0
34,7.0,0.002154434690031882,0.01,0.01407124727947029,2.0
35,7.0,0.004641588833612777,0.01,0.01407124727947029,2.0
36,7.0,0.01,0.025,0.022079402165819616,5.0
37,7.0,0.021544346900318822,0.055,0.032241277890307014,11.0
38,7.0,0.046415888336127774,0.055,0.032241277890307014,11.0
39,7.0,0.1,0.075,0.03724916106437835,15.0
40,10.0,0.0001,0.02,0.01979898987322333,4.0
41,10.0,0.00021544346900318845,0.0,0.0,0.0
42,10.0,0.00046415888336127773,0.005,0.009974968671630002,1.0
43,10.0,0.001,0.005,0.009974968671630002,1.0
44,10.0,0.002154434690031882,0.01,0.01407124727947029,2.0
45,10.0,0.004641588833612777,0.01,0.01407124727947029,2.0
46,10.0,0.01,0.015,0.017190113437671083,3.0
47,10.0,0.021544346900318822,0.025,0.022079402165819616,5.0
48,10.0,0.046415888336127774,0.045,0.029317230428538097,9.0
49,10.0,0.1,0.14,0.04907137658554119,28.0
