,M,s,fixation_freq,fixation_err,count_fixation
0,1.0,0.0001,0.00936,0.0008612730298807689,468.0
1,1.0,0.00021544346900318845,0.01004,0.0008917039149852377,502.0
2,1.0,0.00046415888336127773,0.00998,0.000889062409507904,499.0
3,1.0,0.001,0.01038,0.0009065210687016601,519.0
4,1.0,0.002154434690031882,0.01082,0.0009253292430265024,541.0
5,1.0,0.004641588833612777,0.01184,0.0009674632561498136,592.0
6,1.0,0.01,0.01614,0.0011271024940084197,807.0
7,1.0,0.021544346900318822,0.0242,0.0013744630951757126,1210.0
8,1.0,0.046415888336127774,0.04572,0.0018682544066587934,2286.0
9,1.0,0.1,0.08868,0.0025426892472341167,4434.0
10,2.0,0.0001,0.0106,0.0009159755455250975,530.0
11,2.0,0.00021544346900318845,0.01002,0.0008908243193806509,501.0
12,2.0,0.00046415888336127773,0.0095,0.0008676289529516635,475.0
13,2.0,0.001,0.01086,0.0009270193266593744,543.0
14,2.0,0.002154434690031882,0.01106,0.0009354218898443632,553.0
15,2.0,0.004641588833612777,0.01222,0.0009826768176771038,611.0
16,2.0,0.01,0.01568,0.001111184506731443,784.0
17,2.0,0.021544346900318822,0.02396,0.0013677987688252976,1198.0
18,2.0,0.046415888336127774,0.04498,0.001853791781187952,2249.0
19,2.0,0.1,0.09146,0.0025782950707783623,4573.0
20,5.0,0.0001,0.01012,0.0008952132974883695,506.0
21,5.0,0.00021544346900318845,0.01032,0.0009039246694277129,516.0
22,5.0,0.00046415888336127773,0.00934,0.0008603610590908912,467.0
23,5.0,0.001,0.01032,0.0009039246694277129,516.0
24,5.0,0.002154434690031882,0.0115,0.0009536351503588781,575.0
25,5.0,0.004641588833612777,0.01282,0.0010062066427926225,641.0
26,5.0,0.01,0.01638,0.0011353130176299398,819.0
27,5.0,0.021544346900318822,0.02616,0.0014276037097177914,1308.0
28,5.0,0.046415888336127774,0.04568,0.0018674761064067192,2284.0
29,5.0,0.1,0.09338,0.002602463073321118,4669.0
30,7.0,0.0001,0.00992,0.0008864127074901397,496.0
31,7.0,0.00021544346900318845,0.00992,0.0008864127074901397,496.0
32,7.0,0.00046415888336127773,0.01072,0.0009210898588085748,536.0
33,7.0,0.001,0.01002,0.0008908243193806509,501.0
34,7.0,0.002154434690031882,0.012,0.0009738993787861249,600.0
35,7.0,0.004641588833612777,0.01262,0.000998428188704626,631.0
36,7.0,0.01,0.01526,0.0010964354025659697,763.0
37,7.0,0.021544346900318822,0.02456,0.0013843931927021312,1228.0
38,7.0,0.046415888336127774,0.04776,0.0019074377033077643,2388.0
39,7.0,0.1,0.096,0.0026349041728305793,4800.0
40,10.0,0.0001,0.0102,0.0008987084065479749,510.0
41,10.0,0.00021544346900318845,0.0094,0.0008630939693915142,470.0
42,10.0,0.00046415888336127773,0.01022,0.0008995799730985567,511.0
43,10.0,0.001,0.01054,0.0009134071775500781,527.0
44,10.0,0.002154434690031882,0.01144,0.0009511730189613244,572.0
45,10.0,0.004641588833612777,0.01306,0.0010154579814054348,653.0
46,10.0,0.01,0.01656,0.001141429503736433,828.0
47,10.0,0.021544346900318822,0.02628,0.0014307861223816789,1314.0
48,10.0,0.046415888336127774,0.04946,0.0019393547050501102,2473.0
49,10.0,0.1,0.10012,0.002684712060538336,5006.0
