,M,s,fixation_freq,fixation_err,count_fixation
0,1.0,1e-05,0.0,0.0,0.0
1,1.0,2.782559402207126e-05,0.0,0.0,0.0
2,1.0,7.742636826811278e-05,0.0,0.0,0.0
3,1.0,0.00021544346900318823,0.0,0.0,0.0
4,1.0,0.0005994842503189409,0.0,0.0,0.0
5,1.0,0.0016681005372000592,0.0,0.0,0.0
6,1.0,0.004641588833612777,0.0,0.0,0.0
7,1.0,0.012915496650148827,0.0,0.0,0.0
8,1.0,0.03593813663804626,0.0,0.0,0.0
9,1.0,0.1,0.0,0.0,0.0
10,250.0,1e-05,0.002,0.0028255972819918977,2.0
11,250.0,2.782559402207126e-05,0.0,0.0,0.0
12,250.0,7.742636826811278e-05,0.0,0.0,0.0
13,250.0,0.00021544346900318823,0.001,0.0019989997498749217,1.0
14,250.0,0.0005994842503189409,0.002,0.0028255972819918977,2.0
15,250.0,0.0016681005372000592,0.001,0.0019989997498749217,1.0
16,250.0,0.004641588833612777,0.002,0.0028255972819918977,2.0
17,250.0,0.012915496650148827,0.019,0.008634581634335272,19.0
18,250.0,0.03593813663804626,0.036,0.011782020200288235,36.0
19,250.0,0.1,0.089,0.01800877563856022,89.0
20,500.0,1e-05,0.002,0.0028255972819918977,2.0
21,500.0,2.782559402207126e-05,0.0,0.0,0.0
22,500.0,7.742636826811278e-05,0.001,0.0019989997498749217,1.0
23,500.0,0.00021544346900318823,0.003,0.003458901559744076,3.0
24,500.0,0.0005994842503189409,0.0,0.0,0.0
25,500.0,0.0016681005372000592,0.003,0.003458901559744076,3.0
26,500.0,0.004641588833612777,0.003,0.003458901559744076,3.0
27,500.0,0.012915496650148827,0.02,0.008854377448471461,20.0
28,500.0,0.03593813663804626,0.05,0.013784048752090222,50.0
29,500.0,0.1,0.114,0.020100149253177203,114.0
30,750.0,1e-05,0.002,0.0028255972819918977,2.0
31,750.0,2.782559402207126e-05,0.0,0.0,0.0
32,750.0,7.742636826811278e-05,0.003,0.003458901559744076,3.0
33,750.0,0.00021544346900318823,0.001,0.0019989997498749217,1.0
34,750.0,0.0005994842503189409,0.002,0.0028255972819918977,2.0
35,750.0,0.0016681005372000592,0.002,0.0028255972819918977,2.0
36,750.0,0.004641588833612777,0.008,0.005634181395730883,8.0
37,750.0,0.012915496650148827,0.022,0.009277068502495817,22.0
38,750.0,0.03593813663804626,0.042,0.012686370639390921,42.0
39,750.0,0.1,0.142,0.02207586917881151,142.0
40,1000.0,1e-05,0.0,0.0,0.0
41,1000.0,2.782559402207126e-05,0.001,0.0019989997498749217,1.0
42,1000.0,7.742636826811278e-05,0.0,0.0,0.0
43,1000.0,0.00021544346900318823,0.001,0.0019989997498749217,1.0
44,1000.0,0.0005994842503189409,0.0,0.0,0.0
45,1000.0,0.0016681005372000592,0.002,0.0028255972819918977,2.0
46,1000.0,0.004641588833612777,0.01,0.00629285308902091,10.0
47,1000.0,0.012915496650148827,0.019,0.008634581634335272,19.0
48,1000.0,0.03593813663804626,0.062,0.015252016260153933,62.0
49,1000.0,0.1,0.189,0.024761179293402002,189.0
