,M,s,fixation_freq,fixation_err,count_fixation
0,1.0,1e-05,0.0,0.0,0.0
1,1.0,2.782559402207126e-05,0.0,0.0,0.0
2,1.0,7.742636826811278e-05,0.0,0.0,0.0
3,1.0,0.00021544346900318823,0.0,0.0,0.0
4,1.0,0.0005994842503189409,0.0,0.0,0.0
5,1.0,0.0016681005372000592,0.0,0.0,0.0
6,1.0,0.004641588833612777,0.0,0.0,0.0
7,1.0,0.012915496650148827,0.0,0.0,0.0
8,1.0,0.03593813663804626,0.0,0.0,0.0
9,1.0,0.1,0.0403,0.0039332383604353295,403.0
10,250.0,1e-05,0.0012,0.0006924045060511955,12.0
11,250.0,2.782559402207126e-05,0.0008,0.0005654591055063134,8.0
12,250.0,7.742636826811278e-05,0.0006,0.0004897509571200448,6.0
13,250.0,0.00021544346900318823,0.001,0.0006321392251711644,10.0
14,250.0,0.0005994842503189409,0.0013,0.0007206413809933481,13.0
15,250.0,0.0016681005372000592,0.0018,0.000847764118136643,18.0
16,250.0,0.004641588833612777,0.0061,0.0015572783951496919,61.0
17,250.0,0.012915496650148827,0.0134,0.002299603444074652,134.0
18,250.0,0.03593813663804626,0.0393,0.003886155426639547,393.0
19,250.0,0.1,0.1093,0.006240304800248142,1093.0
20,500.0,1e-05,0.0012,0.0006924045060511955,12.0
21,500.0,2.782559402207126e-05,0.0006,0.0004897509571200448,6.0
22,500.0,7.742636826811278e-05,0.0008,0.0005654591055063134,8.0
23,500.0,0.00021544346900318823,0.0016,0.000799359743794995,16.0
24,500.0,0.0005994842503189409,0.0013,0.0007206413809933481,13.0
25,500.0,0.0016681005372000592,0.003,0.0010938007131100255,30.0
26,500.0,0.004641588833612777,0.0061,0.0015572783951496919,61.0
27,500.0,0.012915496650148827,0.0168,0.00257042875800906,168.0
28,500.0,0.03593813663804626,0.0469,0.004228493348699984,469.0
29,500.0,0.1,0.1263,0.006643743222009713,1263.0
30,750.0,1e-05,0.0012,0.0006924045060511955,12.0
31,750.0,2.782559402207126e-05,0.0006,0.0004897509571200448,6.0
32,750.0,7.742636826811278e-05,0.001,0.0006321392251711644,10.0
33,750.0,0.00021544346900318823,0.0015,0.0007740155037206942,15.0
34,750.0,0.0005994842503189409,0.0009,0.0005997299392226472,9.0
35,750.0,0.0016681005372000592,0.0034,0.0011642061673088663,34.0
36,750.0,0.004641588833612777,0.0069,0.0016555832809013265,69.0
37,750.0,0.012915496650148827,0.0164,0.002540160624842453,164.0
38,750.0,0.03593813663804626,0.0507,0.00438768777375966,507.0
39,750.0,0.1,0.1403,0.006945960264787008,1403.0
40,1000.0,1e-05,0.0009,0.0005997299392226472,9.0
41,1000.0,2.782559402207126e-05,0.0014,0.0007478074618509768,14.0
42,1000.0,7.742636826811278e-05,0.0016,0.000799359743794995,16.0
43,1000.0,0.00021544346900318823,0.0015,0.0007740155037206942,15.0
44,1000.0,0.0005994842503189409,0.0014,0.0007478074618509768,14.0
45,1000.0,0.0016681005372000592,0.0042,0.0012934233645639775,42.0
46,1000.0,0.004641588833612777,0.0077,0.001748223097891113,77.0
47,1000.0,0.012915496650148827,0.0261,0.0031886542615968886,261.0
48,1000.0,0.03593813663804626,0.0684,0.005048621197911367,684.0
49,1000.0,0.1,0.1778,0.00764688590211728,1778.0
