,M,s,fixation_freq,fixation_err,count_fixation
0,1.0,1e-05,0.0,0.0,0.0
1,1.0,2.782559402207126e-05,0.0,0.0,0.0
2,1.0,7.742636826811278e-05,0.0,0.0,0.0
3,1.0,0.00021544346900318823,0.0,0.0,0.0
4,1.0,0.0005994842503189409,0.0,0.0,0.0
5,1.0,0.0016681005372000592,0.0,0.0,0.0
6,1.0,0.004641588833612777,0.0,0.0,0.0
7,1.0,0.012915496650148827,0.0,0.0,0.0
8,1.0,0.03593813663804626,0.0,0.0,0.0
9,1.0,0.1,0.0,0.0,0.0
10,250.0,1e-05,0.00093,0.00019278330840609618,93.0
11,250.0,2.782559402207126e-05,0.00111,0.00021059609682992704,111.0
12,250.0,7.742636826811278e-05,0.0012,0.0002189575301285617,120.0
13,250.0,0.00021544346900318823,0.00122,0.00022077242581445717,122.0
14,250.0,0.0005994842503189409,0.00141,0.00023731935445723765,141.0
15,250.0,0.0016681005372000592,0.0021,0.0002895230560767139,210.0
16,250.0,0.004641588833612777,0.00539,0.0004630744173456357,539.0
17,250.0,0.012915496650148827,0.01451,0.0007562925333493648,1451.0
18,250.0,0.03593813663804626,0.03984,0.0012369765462610842,3984.0
19,250.0,0.1,0.10326,0.0019245505698733925,10326.0
20,500.0,1e-05,0.00083,0.00018213303928721995,83.0
21,500.0,2.782559402207126e-05,0.00111,0.00021059609682992704,111.0
22,500.0,7.742636826811278e-05,0.00097,0.00019688159893702613,97.0
23,500.0,0.00021544346900318823,0.00111,0.00021059609682992704,111.0
24,500.0,0.0005994842503189409,0.00151,0.0002455784925436265,151.0
25,500.0,0.0016681005372000592,0.00261,0.00032268795453192854,261.0
26,500.0,0.004641588833612777,0.0065,0.0005082420683099737,650.0
27,500.0,0.012915496650148827,0.01568,0.0007857260998592321,1568.0
28,500.0,0.03593813663804626,0.04623,0.0013280479976265917,4623.0
29,500.0,0.1,0.12028,0.0020573062154185993,12028.0
30,750.0,1e-05,0.00107,0.0002067708973719464,107.0
31,750.0,2.782559402207126e-05,0.00107,0.0002067708973719464,107.0
32,750.0,7.742636826811278e-05,0.0012,0.0002189575301285617,120.0
33,750.0,0.00021544346900318823,0.00113,0.0002124827616537398,113.0
34,750.0,0.0005994842503189409,0.00145,0.0002406572251148924,145.0
35,750.0,0.0016681005372000592,0.00299,0.000345314922932676,299.0
36,750.0,0.004641588833612777,0.00768,0.0005521238122015749,768.0
37,750.0,0.012915496650148827,0.02051,0.0008964226659338774,2051.0
38,750.0,0.03593813663804626,0.05507,0.0014427376074671375,5507.0
39,750.0,0.1,0.14528,0.002228665265130679,14528.0
40,1000.0,1e-05,0.00117,0.00021620648463910606,117.0
41,1000.0,2.782559402207126e-05,0.00131,0.0002287604773556831,131.0
42,1000.0,7.742636826811278e-05,0.00108,0.0002077338296955987,108.0
43,1000.0,0.00021544346900318823,0.0011,0.0002096463689168024,110.0
44,1000.0,0.0005994842503189409,0.00169,0.00025978020709823145,169.0
45,1000.0,0.0016681005372000592,0.00349,0.00037297827818788586,349.0
46,1000.0,0.004641588833612777,0.00886,0.0005926719294854448,886.0
47,1000.0,0.012915496650148827,0.02527,0.0009926011706622151,2527.0
48,1000.0,0.03593813663804626,0.06847,0.0015972709112733506,6847.0
49,1000.0,0.1,0.17607,0.0024088948096585706,17607.0
