,alpha,s,fixation_freq,fixation_err,count_fixation
0,0.1,0.0001,0.023333333333333334,0.01743134681692301,7.0
1,0.1,0.00021544346900318845,0.016666666666666666,0.014782371884055633,5.0
2,0.1,0.00046415888336127773,0.03333333333333333,0.020727509006864032,10.0
3,0.1,0.001,0.03333333333333333,0.020727509006864032,10.0
4,0.1,0.002154434690031882,0.03333333333333333,0.020727509006864032,10.0
5,0.1,0.004641588833612777,0.07,0.029461839725312473,21.0
6,0.1,0.01,0.06666666666666667,0.02880329199292382,20.0
7,0.1,0.021544346900318822,0.06333333333333334,0.02812406377042555,19.0
8,0.1,0.046415888336127774,0.07666666666666666,0.03072217199111827,23.0
9,0.1,0.1,0.13333333333333333,0.039252270517012654,40.0
10,0.31622776601683794,0.0001,0.02666666666666667,0.01860306625462787,8.0
11,0.31622776601683794,0.00021544346900318845,0.04666666666666667,0.02435539334901379,14.0
12,0.31622776601683794,0.00046415888336127773,0.03333333333333333,0.020727509006864032,10.0
13,0.31622776601683794,0.001,0.02666666666666667,0.01860306625462787,8.0
14,0.31622776601683794,0.002154434690031882,0.023333333333333334,0.01743134681692301,7.0
15,0.31622776601683794,0.004641588833612777,0.043333333333333335,0.023510438973799293,13.0
16,0.31622776601683794,0.01,0.03666666666666667,0.021701681109143663,11.0
17,0.31622776601683794,0.021544346900318822,0.02666666666666667,0.01860306625462787,8.0
18,0.31622776601683794,0.046415888336127774,0.14666666666666667,0.04085022326427042,44.0
19,0.31622776601683794,0.1,0.18,0.04436214602563767,54.0
20,1.0,0.0001,0.03666666666666667,0.021701681109143663,11.0
21,1.0,0.00021544346900318845,0.03666666666666667,0.021701681109143663,11.0
22,1.0,0.00046415888336127773,0.05,0.025166114784235832,15.0
23,1.0,0.001,0.043333333333333335,0.023510438973799293,13.0
24,1.0,0.002154434690031882,0.03333333333333333,0.020727509006864032,10.0
25,1.0,0.004641588833612777,0.023333333333333334,0.01743134681692301,7.0
26,1.0,0.01,0.06333333333333334,0.02812406377042555,19.0
27,1.0,0.021544346900318822,0.06333333333333334,0.02812406377042555,19.0
28,1.0,0.046415888336127774,0.12,0.03752332607858744,36.0
29,1.0,0.1,0.17,0.043374339572301655,51.0
30,3.1622776601683795,0.0001,0.043333333333333335,0.023510438973799293,13.0
31,3.1622776601683795,0.00021544346900318845,0.05,0.025166114784235832,15.0
32,3.1622776601683795,0.00046415888336127773,0.02666666666666667,0.01860306625462787,8.0
33,3.1622776601683795,0.001,0.02,0.01616580753730952,6.0
34,3.1622776601683795,0.002154434690031882,0.06333333333333334,0.02812406377042555,19.0
35,3.1622776601683795,0.004641588833612777,0.056666666666666664,0.026697204736465217,17.0
36,3.1622776601683795,0.01,0.04,0.02262741699796952,12.0
37,3.1622776601683795,0.021544346900318822,0.07,0.029461839725312473,21.0
38,3.1622776601683795,0.046415888336127774,0.08,0.031326240331921947,24.0
39,3.1622776601683795,0.1,0.15333333333333332,0.041604843022933796,46.0
40,10.0,0.0001,0.016666666666666666,0.014782371884055633,5.0
41,10.0,0.00021544346900318845,0.03333333333333333,0.020727509006864032,10.0
42,10.0,0.00046415888336127773,0.04,0.02262741699796952,12.0
43,10.0,0.001,0.02666666666666667,0.01860306625462787,8.0
44,10.0,0.002154434690031882,0.04666666666666667,0.02435539334901379,14.0
45,10.0,0.004641588833612777,0.03,0.01969771560359221,9.0
46,10.0,0.01,0.03666666666666667,0.021701681109143663,11.0
47,10.0,0.021544346900318822,0.07,0.029461839725312473,21.0
48,10.0,0.046415888336127774,0.08,0.031326240331921947,24.0
49,10.0,0.1,0.18666666666666668,0.0449921803905556,56.0
